index,Cutomer number,Customer name,Country,Invoice number,Invoice date,"Invoice amount 
(incl. VAT if applicable)","Open amount
(incl. VAT if applicable)",Due date,"Days overdue 
by 2021-10-31"
0,1071535,AB Ltd.,FR,10142,2021-04-30 00:00:00.000000,5221.13,5221.13,2021-05-30 00:00:00.000000,154
1,1071535,AB Ltd.,FR,10146,2021-04-30 00:00:00.000000,12771.68,12771.68,2021-05-30 00:00:00.000000,154
2,1071535,AB Ltd.,FR,10180,2021-06-30 00:00:00.000000,17028.9,17028.9,2021-08-14 00:00:00.000000,78
3,1071535,AB Ltd.,FR,10007,2021-09-08 00:00:00.000000,7470.23,7470.23,2021-10-08 00:00:00.000000,23
4,1071535,AB Ltd.,FR,10014,2021-09-30 00:00:00.000000,3775.28,3775.28,2021-11-09 00:00:00.000000,-9
5,1071535,AB Ltd.,FR,202110,2021-10-19 00:00:00.000000,40242.84,40242.84,2021-10-19 00:00:00.000000,12
6,1063786,AN Ltd.,JP,20035,2021-08-31 00:00:00.000000,21619.33,21619.33,2021-10-30 00:00:00.000000,1
7,1063786,AN Ltd.,JP,20067,2021-09-30 00:00:00.000000,6545.0,6545.0,2021-11-29 00:00:00.000000,-29
8,1063786,AN Ltd.,JP,20085,2021-09-30 00:00:00.000000,1085.28,1085.28,2021-11-29 00:00:00.000000,-29
9,1063786,AN Ltd.,JP,20095,2021-09-30 00:00:00.000000,15856.75,15856.75,2021-11-29 00:00:00.000000,-29
10,1063786,AN Ltd.,JP,20108,2021-09-30 00:00:00.000000,11900.0,11900.0,2021-11-29 00:00:00.000000,-29
11,1070562,BDS GmbH,DE,20114,2021-09-30 00:00:00.000000,157761.29,157761.29,2021-11-29 00:00:00.000000,-29
12,1050127,BG GmbH,DE,60005,2021-09-30 00:00:00.000000,21869.07,21869.07,2021-11-14 00:00:00.000000,-14
13,1050127,BG GmbH,DE,60006,2021-09-30 00:00:00.000000,18686.72,18686.72,2021-11-14 00:00:00.000000,-14
14,1070397,BI GmbH,NL,20066,2021-09-30 00:00:00.000000,13387.5,13387.5,2021-11-29 00:00:00.000000,-29
15,1066550,BICC Gm,NL,10010,2021-09-30 00:00:00.000000,2380.0,2380.0,2021-10-30 00:00:00.000000,1
16,1066550,BICC Gm,NL,20065,2021-09-30 00:00:00.000000,14891.36,14891.36,2021-10-10 00:00:00.000000,21
17,1066550,BICC Gm,NL,20094,2021-09-30 00:00:00.000000,12574.4,12574.4,2021-11-29 00:00:00.000000,-29
18,1071384,CDSG,GB,20096,2021-09-30 00:00:00.000000,5334.18,5334.18,2021-11-29 00:00:00.000000,-29
19,1028420,D AG & Co. KGaA,DE,20068,2021-09-30 00:00:00.000000,16362.5,16362.5,2021-11-29 00:00:00.000000,-29
20,1067085,DIHCFP AG,DE,20119,2021-09-30 00:00:00.000000,2746.67,2746.67,2021-11-29 00:00:00.000000,-29
21,1067085,DIHCFP AG,DE,20120,2021-09-30 00:00:00.000000,9279.04,9279.04,2021-11-29 00:00:00.000000,-29
22,1062251,DP AG,US,10005,2021-08-31 00:00:00.000000,2975.0,2975.0,2021-10-30 00:00:00.000000,1
23,1062251,DP AG,US,10006,2021-08-31 00:00:00.000000,2380.0,2380.0,2021-10-30 00:00:00.000000,1
24,1062251,DP AG,US,10015,2021-09-30 00:00:00.000000,3111.85,3111.85,2021-12-09 00:00:00.000000,-39
25,1046998,DT AG,US,20093,2021-09-30 00:00:00.000000,1998.31,1998.31,2021-10-30 00:00:00.000000,1
26,1061518,E  SE,DE,20027,2021-08-17 00:00:00.000000,34440.24,30321.35,2021-10-16 00:00:00.000000,15
27,1061518,E  SE,DE,20039,2021-08-31 00:00:00.000000,41926.54,36912.32,2021-10-30 00:00:00.000000,1
28,1061518,E  SE,DE,20043,2021-08-31 00:00:00.000000,14875.0,14875.0,2021-10-30 00:00:00.000000,1
29,1061518,E  SE,DE,20045,2021-08-31 00:00:00.000000,595.0,595.0,2021-10-30 00:00:00.000000,1
30,1061518,E  SE,DE,20078,2021-09-30 00:00:00.000000,595.0,595.0,2021-11-29 00:00:00.000000,-29
31,1061518,E  SE,DE,20079,2021-09-30 00:00:00.000000,14875.0,14875.0,2021-11-29 00:00:00.000000,-29
32,1061518,E  SE,DE,20118,2021-09-30 00:00:00.000000,53597.43,47187.42,2021-11-29 00:00:00.000000,-29
33,1028331,E Stock Corporation,CN,20038,2021-08-31 00:00:00.000000,9203.91,9203.91,2021-10-30 00:00:00.000000,1
34,1028331,E Stock Corporation,CN,20099,2021-09-30 00:00:00.000000,2900.63,2900.63,2021-11-29 00:00:00.000000,-29
35,1067562,EDN GmbH,DE,20110,2021-09-30 00:00:00.000000,11900.0,11900.0,2021-11-29 00:00:00.000000,-29
36,1065842,EDT Stock Corporation,GB,20034,2021-08-31 00:00:00.000000,6053.72,5329.72,2021-10-30 00:00:00.000000,1
37,1065842,EDT Stock Corporation,GB,20040,2021-08-31 00:00:00.000000,11513.25,11513.25,2021-10-30 00:00:00.000000,1
38,1065842,EDT Stock Corporation,GB,20063,2021-09-21 00:00:00.000000,3886.1,3886.1,2021-11-20 00:00:00.000000,-20
39,1065842,EDT Stock Corporation,GB,20064,2021-09-21 00:00:00.000000,3680.1,3239.98,2021-11-20 00:00:00.000000,-20
40,1065842,EDT Stock Corporation,GB,20097,2021-09-30 00:00:00.000000,10323.25,10323.25,2021-11-29 00:00:00.000000,-29
41,1065842,EDT Stock Corporation,GB,20117,2021-09-30 00:00:00.000000,17998.75,17998.75,2021-11-29 00:00:00.000000,-29
42,1065855,EE Deutschland GmbH,DE,20483,2021-04-30 00:00:00.000000,230951.13,221734.5,2021-06-29 00:00:00.000000,124
43,1065855,EE Deutschland GmbH,DE,20051,2021-08-31 00:00:00.000000,170164.43,163357.86,2021-10-30 00:00:00.000000,1
44,1065855,EE Deutschland GmbH,DE,20112,2021-09-30 00:00:00.000000,109954.16,105613.11,2021-11-29 00:00:00.000000,-29
45,1065855,EE Deutschland GmbH,DE,20115,2021-09-30 00:00:00.000000,28470.75,28470.75,2021-11-29 00:00:00.000000,-29
46,1065855,EE Deutschland GmbH,DE,20121,2021-09-30 00:00:00.000000,16279.2,16279.2,2021-11-29 00:00:00.000000,-29
